,department_name,Sum of Dept Total output cost,prev_year Sum of Dept Total output cost,program_name,program_description,Total output cost,deliverable,year,estimate_or_actual,measure_unit,measure_type,deliverable_id
2729,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Additional employment from production supported by Film Victoria,2009,2697.0,number,Quantity,384
2730,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Members and friends of agencies,2009,36370.0,number,Quantity,386
2731,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Students participating in agency education programs,2009,487571.0,number,Quantity,387
2732,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Users/attendances at all agencies,2009,8527.0,number (‘000),Quantity,388
2733,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,"Value of film, television and digital media production supported by Film Victoria",2009,89.9,$ million,Quantity,389
2734,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Volunteer hours,2009,93230.0,number,Quantity,390
2735,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Agency collections storage meeting industry standard,2009,85.0,per cent,Quality,391
2736,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Visitors satisfied with visit: Arts Centre Melbourne,2009,99.0,per cent,Quality,392
2737,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Visitors satisfied with visit: Australian Centre for the Moving Image,2009,90.0,per cent,Quality,393
2738,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Visitors satisfied with visit: Geelong Performing Arts Centre,2009,99.0,per cent,Quality,394
2739,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Visitors satisfied with visit: Museum Victoria,2009,93.0,per cent,Quality,396
2740,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Visitors satisfied with visit: National Gallery of Victoria,2009,97.0,per cent,Quality,397
2741,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Visitors satisfied with visit: State Library of Victoria,2009,90.0,per cent,Quality,398
2742,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Creative Industries Portfolio Agencies,"This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output promotes, presents and preserves our heritage and the creative industries through Victoria’s creative industries agencies: Arts Centre Melbourne, Australian Centre for the Moving Image (ACMI), Docklands Studios Melbourne, Film Victoria, Geelong Performing Arts Centre, Melbourne Recital Centre, Museums Victoria, National Gallery of Victoria (NGV), and the State Library Victoria. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",277.4,Arts portfolio public body annual reports tabled in Parliament by the required statutory dates,2009,100.0,per cent,Timeliness,399
2743,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Cultural Infrastructure and Facilities,This output supports Victorian cultural venues and state-owned facilities through strategic assessment and provision of advice on portfolio infrastructure proposals and projects. The output includes consolidation of portfolio asset management plans and management of funding programs for maintenance and minor capital works. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,99.0,Infrastructure development projects underway,2009,4.0,number,Quantity,401
2744,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Cultural Infrastructure and Facilities,This output supports Victorian cultural venues and state-owned facilities through strategic assessment and provision of advice on portfolio infrastructure proposals and projects. The output includes consolidation of portfolio asset management plans and management of funding programs for maintenance and minor capital works. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,99.0,Success measures of projects achieved,2009,92.0,per cent,Quality,403
2745,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Port and Freight Network Access,"This output delivers capital initiatives and programs to increase the capacity, efficiency and safety of the ports, freight and logistics network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output delivers capital initiatives and programs to increase the capacity, efficiency and safety of the ports, freight and logistics network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",68.1,Road based freight accessibility and reliability improvement projects completed,2009,13.0,number,Quantity,470
2746,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Port and Freight Network Access,"This output delivers capital initiatives and programs to increase the capacity, efficiency and safety of the ports, freight and logistics network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output delivers capital initiatives and programs to increase the capacity, efficiency and safety of the ports, freight and logistics network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",68.1,Road-based freight accessibility and reliability projects completed within specified scope and standards,2009,85.0,per cent,Quality,472
2747,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Port and Freight Network Access,"This output delivers capital initiatives and programs to increase the capacity, efficiency and safety of the ports, freight and logistics network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output delivers capital initiatives and programs to increase the capacity, efficiency and safety of the ports, freight and logistics network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",68.1,Road-based freight accessibility and reliability projects completed within agreed timeframes,2009,100.0,per cent,Timeliness,473
2748,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Road Asset Management,This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,374.9,Bridges maintained: metropolitan,2009,870.0,number,Quantity,474
2749,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Road Asset Management,This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,374.9,Bridges maintained: regional,2009,2190.0,number,Quantity,475
2750,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,Road Asset Management,This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output group delivers programs and initiatives to maintain Victoria’s freeways and arterial road network. Activities support the safety and reliability of the network. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:,374.9,Road network maintained: metropolitan,2009,11222.0,lane- km,Quantity,476
